r,x,y,part
2.250,260.335,31.850,novena
2.250,285.335,31.850,novena
2.500,209.580,32.000,novena
2.250,253.580,32.000,novena
0.800,324.580,32.000,novena
2.250,253.580,59.000,novena
2.250,268.361,75.619,novena
2.250,242.199,101.781,novena
2.250,303.580,161.000,novena
0.800,209.580,176.000,novena
2.250,270.580,176.000,novena
2.250,306.580,176.000,novena
0.800,324.580,176.000,novena
1.050,266.555,182.460,senoko
1.050,324.555,182.460,senoko
1.050,224.055,198.460,senoko
1.050,246.555,217.460,senoko
1.050,324.555,217.460,senoko
2.500,107.040,20.725,hd
2.500,200.500,20.725,hd
2.500,107.040,100.575,hd
2.500,200.500,100.575,hd
2.5,112,142,peek_batt
2.5,142,142,peek_batt
2.5,22,172,peek_batt
2.5,112,202,peek_batt
2.5,142,202,peek_batt
2.5,52,22,peek_fp
2.5,82,22,peek_fp
2.5,67,37,peek_fp
2.5,22,22,peek
2.5,37,37,peek
2.5,22,52,peek
2.5,52,52,peek
2.5,82,52,peek
2.5,37,67,peek
2.5,67,67,peek
2.5,22,82,peek
2.5,52,82,peek
2.5,82,82,peek
2.5,37,97,peek
2.5,67,97,peek
2.5,22,112,peek
2.5,52,112,peek
2.5,82,112,peek
2.5,112,112,peek
2.5,142,112,peek
2.5,172,112,peek
2.5,202,112,peek
2.5,37,127,peek
2.5,67,127,peek
2.5,97,127,peek
2.5,127,127,peek
2.5,157,127,peek
2.5,187,127,peek
2.5,22,142,peek
2.5,52,142,peek
2.5,82,142,peek
2.5,172,142,peek
2.5,202,142,peek
2.5,37,157,peek
2.5,67,157,peek
2.5,97,157,peek
2.5,127,157,peek
2.5,157,157,peek
2.5,187,157,peek
2.5,52,172,peek
2.5,82,172,peek
2.5,112,172,peek
2.5,142,172,peek
2.5,172,172,peek
2.5,202,172,peek
2.5,37,187,peek
2.5,67,187,peek
2.5,97,187,peek
2.5,127,187,peek
2.5,157,187,peek
2.5,187,187,peek
2.5,22,202,peek
2.5,52,202,peek
2.5,82,202,peek
2.5,172,202,peek
2.5,202,202,peek
